Site,area,BTS,Metrics,Value
1,0.1826,G) Total,S total,24.131
2,0.2393,G) Total,S total,44.885
3,0.2458,G) Total,S total,28.101
4,0.3955,G) Total,S total,18.964
5,0.5616,G) Total,S total,25.094
6,0.6199,G) Total,S total,23.158
7,0.7378,G) Total,S total,43.062
8,1.3472,G) Total,S total,37.543
9,1.9435,G) Total,S total,59.308
10,2.9119,G) Total,S total,46.185
11,3.8997,G) Total,S total,52.979
12,141.9807,G) Total,S total,63.101
1,0.1826,G) Total, γ S PIE,2.850244167
2,0.2393,G) Total, γ S PIE,3.853971386
3,0.2458,G) Total, γ S PIE,2.74309118
4,0.3955,G) Total, γ S PIE,2.173464529
5,0.5616,G) Total, γ S PIE,2.512700271
6,0.6199,G) Total, γ S PIE,1.425684529
7,0.7378,G) Total, γ S PIE,3.776246573
8,1.3472,G) Total, γ S PIE,1.865705044
9,1.9435,G) Total, γ S PIE,3.711851643
10,2.9119,G) Total, γ S PIE,3.28440503
11,3.8997,G) Total, γ S PIE,2.00085742
12,141.9807,G) Total, γ S PIE,2.55814273
1,0.1826,H) Local,α S PIE,2.850244167
2,0.2393,H) Local,α S PIE,3.853971386
3,0.2458,H) Local,α S PIE,2.74309118
4,0.3955,H) Local,α S PIE,2.173464529
5,0.5616,H) Local,α S PIE,2.129708904
6,0.6199,H) Local,α S PIE,1.416964458
7,0.7378,H) Local,α S PIE,3.918567854
8,1.3472,H) Local,α S PIE,1.840850944
9,1.9435,H) Local,α S PIE,3.831141281
10,2.9119,H) Local,α S PIE,2.482032547
11,3.8997,H) Local,α S PIE,1.883696007
12,141.9807,H) Local,α S PIE,2.60741359
1,0.1826,I) Beta,β S PIE,1
2,0.2393,I) Beta,β S PIE,1
3,0.2458,I) Beta,β S PIE,1
4,0.3955,I) Beta,β S PIE,1
5,0.5616,I) Beta,β S PIE,0.8475777746
6,0.6199,I) Beta,β S PIE,0.9938835904
7,0.7378,I) Beta,β S PIE,1.037688556
8,1.3472,I) Beta,β S PIE,0.9866784407
9,1.9435,I) Beta,β S PIE,1.032137502
10,2.9119,I) Beta,β S PIE,0.7557023341
11,3.8997,I) Beta,β S PIE,0.9414443971
12,141.9807,I) Beta,β S PIE,1.019260403
1,0.1826,G) Total, γ Sn,12
2,0.2393,G) Total, γ Sn,20
3,0.2458,G) Total, γ Sn,22
4,0.3955,G) Total, γ Sn,13
5,0.5616,G) Total, γ Sn,14.065
6,0.6199,G) Total, γ Sn,15.589
7,0.7378,G) Total, γ Sn,25.505
8,1.3472,G) Total, γ Sn,24.145
9,1.9435,G) Total, γ Sn,28.574
10,2.9119,G) Total, γ Sn,24.189
11,3.8997,G) Total, γ Sn,22.983
12,141.9807,G) Total, γ Sn,28.337
1,0.1826,H) Local,α Sn,12
2,0.2393,H) Local,α Sn,20
3,0.2458,H) Local,α Sn,22
4,0.3955,H) Local,α Sn,13
5,0.5616,H) Local,α Sn,12.357
6,0.6199,H) Local,α Sn,14.353
7,0.7378,H) Local,α Sn,22.588
8,1.3472,H) Local,α Sn,22.6455
9,1.9435,H) Local,α Sn,26.723
10,2.9119,H) Local,α Sn,20.757
11,3.8997,H) Local,α Sn,20.04
12,141.9807,H) Local,α Sn,21.8485
1,0.1826,I) Beta,β Sn,1
2,0.2393,I) Beta,β Sn,1
3,0.2458,I) Beta,β Sn,1
4,0.3955,I) Beta,β Sn,1
5,0.5616,I) Beta,β Sn,1.138221251
6,0.6199,I) Beta,β Sn,1.086114401
7,0.7378,I) Beta,β Sn,1.129139366
8,1.3472,I) Beta,β Sn,1.066216246
9,1.9435,I) Beta,β Sn,1.069266175
10,2.9119,I) Beta,β Sn,1.165341812
11,3.8997,I) Beta,β Sn,1.146856287
12,141.9807,I) Beta,β Sn,1.296976909