frag_id,sample_id,frag_size_char,frag_size_num,sample_eff,sample_design,Adonis cupaniana,Aegilops geniculata,Ainsworthia trachycarpa,Alcea acaulis,Allium ampeloprasum,Allium daninianum,Alyssum minus,Anagallis arvensis,Anchusa aegyptiaca,Andropogon distachyos,Anthyllis tetraphylla,Antirrhinum orontium,Arisarum vulgare,Artedia squamata,Asteriscus aquaticus,Atractylis cancellata,Atractylis comosa,Avena sterilis,Avena wiestii,Bellevalia flexuosa,Beta vulgaris,Biscutella didyma,Brachypodium distachyon,Bromus alopecuros caroli-henrici,Bromus fasciculatus,Bromus lanceolatus,Bromus madritensis,Bromus scoparius,Calendula arvensis,Callipeltis cucullaria,Campanula erinus,Carduus argentatus,Carlina curetum orientalis,Carthamus tenuis foliosus,Catananche lutea,Centaurea crocodylium,Centaurea hyalolepis,Centaurea verutum,Convolvulus althaeoides,Convolvulus betonicifolius,Convolvulus dorycnium,Convolvulus humilis,Convolvulus siculus,Coronilla scorpioides,Crepis sancta,Crucianella macrostachya,Crupina crupinastrum,Cynodon dactylon,Daucus aureus,Daucus carota maximus,Delphinium peregrinum,Dianthus strictus,Dicotelydone,Echinops adenocaulos,Echium judaeum,Erodium cicutarium,Erodium gruinum,Erodium laciniatum,Erodium malacoides,Erucaria boveana (E.rostrata),Eryngium creticum,Euphorbia chamaepeplus,Euphorbia exigua,Euphorbia oxyodonta,Ferula communis,Filago palaestina,Filago pyramidata,Foeniculum vulgare,Gagea reticulata,Galium divaricatum,Galium judaicum,Galium murale,Geranium dissectum,Geranium molle,Geropogon hybridus,Gundelia tournefortii,Gynandriris sisyrinchium,Hedypnois cretica,Helianthemum aegyptiacum,Helianthemum lasiocarpum,Helianthemum salicifolium,Heliotropium rotundifolium,Hippocrepis unisiliquosa,Hordeum bulbosum,Hymenocarpos circinnatus,Hyparrhenia hirta,Isatis lusitanica,Kickxia aegyptiaca,Lagoecia cuminoides,Lathyrus blepharicarpos,Lathyrus hierosolymitanus,Lathyrus ochrus,Linaria micrantha,Linum corymbulosum,Linum nodiflorum,Linum pubescens,Linum strictum,Lolium rigidum,Lomelosia prolifera,Lophochloa cristata,Lotus conjugatus,Malva parviflora,Medicago coronata,Medicago orbicularis,Medicago polymorpha,Medicago rotata,Medicago scutellata,Medicago truncatula,Medicago tuberculata,Melilotus sulcatus,Mercurialis annua,Moluccella laevis,Nigella ciliaris,Nigella nigellastrum,Notobasis syriaca,Onobrychis caput-galli,Onobrychis crista-galli,Onobrychis squarrosa,Ononis alopecuroides,Ononis antiquorum,Ononis hirta,Ononis mitissima,Ononis mollis,Ononis ornithopodioides,Ononis sicula,Ononis viscosa breviflora,Onosma gigantea,Ornithogalum narbonense,Parapholis incurva,Phagnalon rupestre,Phalaris brachystachys,Picris altissima,Picris galilaea,Pimpinella cretica,Plantago afra,Plantago albicans,Plantago cretica,Polycarpon tetraphyllum,Psoralea (=bituminaria) bituminosa,Pterocephalus brevis,Ranunculus asiaticus,Rapistrum rugosum,Rhagadiolus stellatus,Rhamnus lycioides,Ridolfia segetum,Salvia horminum,Salvia pinnata,Scilla autumnalis,Scolymus maculatus,Scorpiurus muricatus,Scrophularia xanthoglossa,Sedum pallidum,Sherardia arvensis,Silybum marianum,Sinapis alba,Sinapis arvensis,Sinapis_or_Rapistrum,Sonchus oleraceus,Stachys neurocalycina,Stipa capensis,Tetragonolobus requienii,Teucrium capitatum,Theligonum cynocrambe,Thesium humile,Thrincia tuberosa,Tolpis virgata,Tordylium aegyptiacum,Torilis tenella,Trifolium alexandrinum,Trifolium campestre,Trifolium cherleri,Trifolium clypeatum,Trifolium dasyurum,Trifolium purpureum,Trifolium scabrum,Trifolium stellatum,Trifolium tomentosum,Velezia rigida,Veronica cymbalaria,Vicia palaestina,Vicia peregrina,Vicia sativa,Vulpia ciliata,Vulpia myuros,Ziziphora capitata
Galon_22,1,0.1559,0.1559,1,standardized_subsamples,0,0,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,7,0,0,0,17,0,0,0,1,0,0,0,0,0,15,0,0,0,0,8,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,14,0,17,0,1,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Galon_81 ,1,0.2002,0.2002,1,standardized_subsamples,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,407,0,0,0,0,243,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galon_20,1,0.2022,0.2022,1,standardized_subsamples,0,0,2,0,0,0,0,24,1,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,10,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,45,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,21,0,2,0,1,43,1,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Galon_19_,1,0.2344,0.2344,1,standardized_subsamples,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,7,0,0,3,1,190,35,0,17,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,128,0,0,0,0,0,0,0,0,0,4,0,0,1,19,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,52,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,43,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
Galon_14,1,0.2348,0.2348,1,standardized_subsamples,0,0,19,0,0,0,0,45,0,0,0,1,0,0,0,0,0,0,0,0,0,1,115,2,1,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,43,0,3,0,0,0,0,0,0,0,6,0,0,1,8,0,0,0,7,3,0,9,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,150,0,11,0,0,0,2,3,0,2,0,0,4,0,0,0,9,1,1,0,0,1,0,1,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,10,0,0
Galon_13,1,0.3342,0.3342,1,standardized_subsamples,1,0,1,0,0,0,0,29,0,0,0,7,0,0,0,0,0,8,0,2,0,7,85,1,0,15,94,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,1,14,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,7,3,0,0,1,3,0,0,60,0,0,0,3,0,0,0,0,0,21,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,149,1,70,0,70,0,5,8,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,182,0,0,0,0,43,0,38,0,0,15,3,0,0,0,0,0,0,1,0,0,0,0
Galon_69,1,0.4495,0.4495,1,standardized_subsamples,0,0,0,1,0,0,0,15,0,3,0,0,1,0,0,0,0,75,0,0,0,1,2,2,0,0,0,0,2,0,0,19,4,3,2,0,0,0,0,0,0,0,0,0,1,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,4,0,5,0,2,1,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,8,0,3,0,16,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,2,1,0,2,0,0,0,2,3,0,1,0,0,0,15,0,2,0,15,0,0,0,0,0,5,0,38,0,8,26,19,1,0,0,12,0,2,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0
Galon_27,1,0.6442,0.6442,1,standardized_subsamples,0,0,0,0,0,0,0,32,2,0,0,0,0,0,0,0,0,3,0,0,0,2,3,0,0,0,8,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,1,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,4,5,0,31,36,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14
Galon_27,2,0.6442,0.6442,1,standardized_subsamples,0,22,0,0,0,0,1,109,0,0,0,0,0,4,0,0,0,24,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,3,0,2,0,0,0,2,2,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,4,17,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,17,0,3,0,7,0,0,1,0,0,0,8,0,4,0,0,0,70,0,0,0,1,0,6,1,23,0,9,15,13,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Galon_83,1,0.7203,0.7203,1,standardized_subsamples,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,5,0,0,332,0,0,0,80,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,0,11,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,4,0,0,9,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,47,0,0,10,0,0,0,0,0,3,0,0,0,0,7,0,0,16,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galon_57,1,0.8625,0.8625,1,standardized_subsamples,0,0,0,0,0,1,0,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galon_57,2,0.8625,0.8625,1,standardized_subsamples,0,0,0,0,0,0,0,3,0,0,0,0,0,0,48,0,0,1,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galon_82,1,1.5414,1.5414,1,standardized_subsamples,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,1,340,0,0,0,15,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,3,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,0,2,12,0,0,0,0,0,0,0,0,0,8,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0
Galon_82,2,1.5414,1.5414,1,standardized_subsamples,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,13,0,0,0,7,352,0,0,3,7,0,0,0,0,0,0,6,0,0,0,0,3,0,8,0,0,0,0,7,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,3,4,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,11,0,0,0,36,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Galon_40,1,1.8122,1.8122,1,standardized_subsamples,0,1,0,0,0,0,0,4,0,7,0,0,0,0,4,4,0,9,0,0,0,6,3,6,0,0,1,0,0,0,0,7,2,14,14,0,0,0,0,0,1,0,0,3,3,11,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,1,3,28,0,0,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,80,35,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,5,0,3,0,0,18,22,10,0,0,3,12,0,0,0,2,0,0,0,0,0,0,0
Galon_40,2,1.8122,1.8122,1,standardized_subsamples,0,7,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,41,0,0,0,11,8,0,72,0,0,2,0,1,0,5,0,12,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,0,0,5,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,7,15,1,3,0,0,3,0,60,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21,0,21,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,21,0,0,3,0,1,0,0,15,14,24,0,1,46,19,7,0,1,0,0,0,0,0,1,0,0
Galon_40,3,1.8122,1.8122,1,standardized_subsamples,0,2,0,0,0,1,0,9,0,0,0,0,0,0,0,1,0,27,0,0,0,6,30,0,83,4,4,0,2,0,0,8,0,15,2,1,1,0,0,0,0,0,0,0,2,52,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,10,0,0,0,0,0,7,0,5,0,1,0,0,0,17,0,0,0,0,2,0,0,8,20,0,0,0,0,7,0,16,0,0,0,1,0,1,0,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,36,0,68,0,1,1,2,0,0,0,0,0,0,6,0,0,0,36,18,7,0,7,0,1,0,18,0,0,30,0,1,0,0,3,3,16,4,0,7,9,10,0,0,0,0,0,0,0,0,0,0
Galon_53,1,2.1275,2.1275,1,standardized_subsamples,0,0,0,0,0,0,0,38,0,0,0,0,0,0,4,0,0,17,0,0,0,1,320,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,0,0,0,2,0,0,0,0,1,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,51,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,0,7,0,0,0,0,0,0,6,2,0,0,0,0,0,0,42,0,0,0,0,2,5,0,7,0,0,9,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Galon_53,2,2.1275,2.1275,1,standardized_subsamples,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,35,1,0,0,3,375,15,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,21,0,53,0,0,0,0,0,0,0,0,0,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,53,0,95,0,0,0,0,0,0,15,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,12,0,0,0,16,11,0,0,0,0,0,0,0,0,2,0,0
Galon_53,3,2.1275,2.1275,1,standardized_subsamples,0,0,0,0,0,0,0,24,0,0,0,0,0,0,107,0,0,5,0,0,0,0,259,0,19,2,300,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,25,0,0,0,2,0,0,0,1,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,2,0,16,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,18,0,11,0,0,0,0,0,0,25,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galon_26,1,4.2362,4.2362,1,standardized_subsamples,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,48,0,0,0,2,241,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,7,0,0,0,5,0,0,0,3,0,0,0,0,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,1,0,0,6,0,0,0,0,0,0,2,0,8,0,18,0,0,0,0,0,0,1,1,0,0,0,0,14,0,0,3,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,3,31,7,4,2,27,14,0,2,0,0,0,0,3,2,0,0,0
Galon_26,2,4.2362,4.2362,1,standardized_subsamples,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,179,0,0,0,8,123,0,0,73,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,2,0,1,0,0,0,1,0,14,5,22,0,0,15,0,0,0,2,0,108,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,7,0,0,0,0,0,0,3,2,0,0,0
Galon_26,3,4.2362,4.2362,1,standardized_subsamples,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,63,0,0,0,2,51,0,0,51,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,3,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,1,0,0,0,0,1,1,0,2,0,2,0,18,0,0,0,0,0,0,5,0,1,0,0,0,116,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,13,0,1,7,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0,0,3,0,0,0,0,2,1,3,0,0,0,1,0,0,0,0,0
Galon_25,1,361.1384,361.1384,1,standardized_subsamples,0,1,0,0,0,0,0,9,0,0,0,0,1,16,0,0,0,62,0,0,0,0,164,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,7,0,0,0,0,0,11,0,0,0,0,0,0,1,2,0,1,0,36,0,0,0,0,0,0,0,44,12,2,0,0,0,0,0,0,3,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,9,5,0,3,1,7,0,0,0,0,0,3,1,0,0,0,0
Galon_25,2,361.1384,361.1384,1,standardized_subsamples,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,24,0,0,0,0,162,0,0,1,18,1,0,0,0,5,0,0,5,0,0,0,0,0,0,0,2,0,1,0,0,0,107,0,0,0,0,0,0,0,1,0,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,35,0,0,0,0,51,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,14,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,12,4,0,0,10,10,0,0,0,0,0,3,1,0,0,0,0
Galon_25,3,361.1384,361.1384,1,standardized_subsamples,0,0,0,0,0,0,0,39,0,0,0,2,1,2,0,0,0,5,0,0,0,7,258,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,43,0,8,17,1,0,38,0,1,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,8,0,0,0,20,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,110,0,0,0,0,17,1,0,3,2,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,10,0,77,0,8,4,0,14,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,7,0,0,0,3,0,0,0,0,0,0,0,0,1,0,4
Galon_25,4,361.1384,361.1384,1,standardized_subsamples,0,0,0,0,0,0,0,23,0,0,3,0,0,2,0,0,0,22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,39,6,0,0,0,0,2,0,1,0,16,5,50,0,0,0,0,0,0,1,0,12,0,0,0,0,1,1,1,1,0,0,0,2,0,0,0,0,0,0,35,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,27,7,3,0,0,25,5,1,0,0,0,0,1,0,0,0,0
Galon_25,5,361.1384,361.1384,1,standardized_subsamples,0,0,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,39,0,0,0,0,395,0,0,2,0,0,0,0,0,0,1,53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,29,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,2,0,0,8,7,1,0,0,0,6,0,24,0,0,0,0,0,0,0,0,0,0,11,0,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,7,0,0,0,0,0,2,1,9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,44,4,17,0,0,11,2,35,0,0,0,0,0,0,0,0,0
