frag_id,sample_id,frag_size_char,frag_size_num,sample_eff,sample_design,Aegilops geniculata,Alcea acaulis,Alkanna strigosa,Allium daninianum,Ammi majus,Anagallis arvensis,Anchusa aegyptiaca,Anchusa strigosa,Anemone coronaria,Antirrhinum orontium,Astragalus aleppicus,Astragalus cruciatus (=asterias),Atractylis cancellata,Avena sterilis,Biscutella didyma,Brachypodium distachyon,Bromus madritensis,Calendula arvensis,Campanula erinus,Carrichtera annua,Carthamus tenuis foliosus,Centaurea hyalolepis,Convolvulus dorycnium,Crassula alata,Crepis sancta,Crucianella macrostachya,Crupina crupinastrum,Dactylis glomerata,Daucus carota maximus,Delphinium peregrinum,Devarra tortuosa,Dianthus strictus,Diplotaxis erucoides,Echium angustifolium angustifolium,Erodium cicutarium,Erodium deserti,Erodium gruinum,Erodium laciniatum,Erodium malacoides,Erucaria boveana (E.rostrata),Eryngium creticum,Euphorbia chamaepeplus,Euphorbia oxyodonta,Filago contracta,Filago palaestina,Filago pyramidata,Fumaria bracteosa,Gagea reticulata,Gundelia tournefortii,Gynandriris sisyrinchium,Hedypnois cretica,Helianthemum lasiocarpum,Helianthemum salicifolium,Helianthemum vesicarium,Heliotropium rotundifolium,Hippocrepis unisiliquosa,Hymenocarpos circinnatus,Kickxia aegyptiaca,Lagoecia cuminoides,Leontice leontopetalum,Linaria albifrons,Linum strictum,Lophochloa cristata,Malabaila secacul,Malva parviflora,Medicago coronata,Nonea philistaea,Onobrychis crista-galli,Ononis antiquorum,Ononis ornithopodioides,Ononis sicula,Ophrys carmeli carmeli,Paronychia argentea,Phagnalon rupestre,Phlomis brachyodon,Plantago afra,Plantago albicans,Plantago coronopus commutata,Plantago cretica,Poa bulbosa,Polygonum equisetiforme,Pterocephalus brevis,Ranunculus asiaticus,Reichardia tingitana,Reumaria_or_Anthemis,Rhagadiolus stellatus,Ridolfia segetum,Salvia samuelssonii,Scilla autumnalis,Scorzonera papposa,Sedum pallidum,Seedling,Stipa capensis,Teucrium capitatum,Theligonum cynocrambe,Thesium humile,Torilis tenella,Trifolium dasyurum,Trigonella arabica,Tulipa agenensis,Vicia narbonensis,Vicia palaestina,Vicia peregrina,Vicia sativa,Vulpia myuros
Dvir_59,1,0.1826,0.1826,1,standardized_subsamples,0,0,0,0,0,1,0,0,7,0,0,0,0,50,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0
Dvir_31,1,0.2393,0.2393,1,standardized_subsamples,0,0,0,0,0,3,0,0,0,0,0,0,0,89,0,50,4,1,0,0,5,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0,0,2,0,0,0,0,0,0,1,0
Dvir_57,1,0.2458,0.2458,1,standardized_subsamples,0,0,0,0,0,1,0,0,10,0,0,0,0,9,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,28,0,0,1,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,2,0,10,9,0,0,0,0,0,4,0,1,0,152,0,0,0,4,0,0,0,0,0,0,0,0
Dvir_93,1,0.3955,0.3955,1,standardized_subsamples,0,2,0,0,0,0,0,0,18,0,0,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,1,0,0,0,0,0,0,0,0
Dvir_121,1,0.5616,0.5616,1,standardized_subsamples,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,39,4,0,0,0,0,0,0,0,0,0,0,0
Dvir_121,2,0.5616,0.5616,1,standardized_subsamples,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0
Dvir_66,1,0.6199,0.6199,1,standardized_subsamples,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,5,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0
Dvir_66,2,0.6199,0.6199,1,standardized_subsamples,0,1,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0
Dvir_15,1,0.7378,0.7378,1,standardized_subsamples,0,1,0,0,0,0,0,0,7,0,0,0,0,29,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,4,0,0,2,0,0,0,0,0,33,0,0,0,0,1,28,2,0,0,0,0,8,1,0,0,141,2,0,0,11,0,1,0,1,0,0,0,0
Dvir_15,2,0.7378,0.7378,1,standardized_subsamples,1,0,0,0,0,0,0,0,3,0,0,0,0,18,0,0,0,3,0,0,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,79,0,0,0,1,0,0,0,0,0,0,0,0
Dvir_95,1,1.3472,1.3472,1,standardized_subsamples,0,0,0,0,0,6,0,0,0,1,0,0,0,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,5,0,7,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,5,0,0,1,3,0,0,0,0,0,2,0,0,0,135,0,0,0,5,0,0,0,0,0,0,0,0
Dvir_95,2,1.3472,1.3472,1,standardized_subsamples,0,0,0,0,0,0,0,0,2,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,18,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,2,0,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,179,3,0,1,1,0,0,0,0,0,0,0,0
Dvir_58,1,1.9435,1.9435,1,standardized_subsamples,0,0,0,0,0,0,0,0,2,1,0,0,0,9,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,68,1,0,0,1,0,0,0,0,1,0,0,0
Dvir_58,2,1.9435,1.9435,1,standardized_subsamples,0,0,0,0,0,2,0,0,6,0,0,0,0,4,0,0,0,3,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,3,1,0,10,0,1,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,4,24,0,2,0,0,0,3,0,1,0,81,1,0,0,1,0,0,0,0,0,0,0,0
Dvir_58,3,1.9435,1.9435,1,standardized_subsamples,0,0,0,0,0,0,0,0,64,0,0,2,0,4,2,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,7,0,0,9,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,1,35,0,1,0,0,1,8,0,0,0,164,0,0,0,9,0,0,4,0,0,0,0,0
Dvir_43,1,2.9119,2.9119,1,standardized_subsamples,0,0,0,3,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,151,0,0,0,1,1,0,0,0,0,0,0,0
Dvir_43,2,2.9119,2.9119,1,standardized_subsamples,0,0,0,8,0,1,0,1,5,7,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,0,2,2,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,1,0,0,4,0,0,0,0,0,3,0,0,0,0,2,1,3,0,0,0,0,1,1,0,3,53,0,0,0,2,0,0,0,0,1,1,0,0
Dvir_43,3,2.9119,2.9119,1,standardized_subsamples,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,1,93,0,0,0,0,0,0,0,0,0,0,0,0
Dvir_98,1,3.8997,3.8997,1,standardized_subsamples,0,0,0,0,0,1,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,3,0,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,6,0,0,0,0,0,2,0,35,0,138,2,0,0,0,0,0,0,0,0,0,0,0
Dvir_98,2,3.8997,3.8997,1,standardized_subsamples,0,0,0,0,0,1,0,0,8,0,0,0,2,31,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,7,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,3,0,0,3,0,1,14,0,0,0,0,0,2,0,1,0,213,2,0,0,0,0,0,0,0,0,0,0,0
Dvir_98,3,3.8997,3.8997,1,standardized_subsamples,0,0,0,0,0,17,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,256,0,0,0,0,0,0,0,0,0,0,0,0
Dvir_117,1,141.9807,141.9807,1,standardized_subsamples,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,1,1,0,0,0,0,2,0,3,0,1,0,76,1,0,0,1,0,0,0,0,0,0,0,0
Dvir_117,2,141.9807,141.9807,1,standardized_subsamples,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,5,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,3,0,0,0,0,1,0,0,0,0,0,2,0,8,0,99,0,1,0,0,0,0,0,0,0,0,0,0
Dvir_117,3,141.9807,141.9807,1,standardized_subsamples,0,0,0,0,0,0,0,0,18,0,0,0,2,20,3,0,0,0,8,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,0,2,1,7,0,0,0,0,0,0,0,0,0,3,14,0,0,0,19,0,0,0,0,0,2,0,0,0,188,0,0,0,1,0,0,0,0,0,0,0,2
Dvir_117,4,141.9807,141.9807,1,standardized_subsamples,0,0,1,0,0,1,0,0,4,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,2,0,0,1,0,0,0,113,0,0,0,2,0,0,0,0,0,0,0,0
