Site,Mermiria bivittata,Metrioptera,Conocephaline dorsal stripe (common meadow katy),Melanoplus keeleri,M angustipennis,M foedus,Trimerotropis maritima,Bush Cricket,Neoconocephalus,Montezumina modesta,Amblycorypha oblongifolia,M bivittatus,M confusus,Eretettix simplex,Hesperotettix viridis,Campylacantha olivacea,Pardalophora phoenicoptera,Arphia sulphurea,Pseudopomala brachyptera,Boopedon auriventris,Mermiria intertexta,Spharagemon bolli,Schistocerau damnifica,M sp 1 brown short wings,Chloealtis conspersa,Tree cricket
4,0,1,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,2,1,3,0,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1
4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,2,0,0,6,0,1,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0
4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,2,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,2,1,1,8,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
5,0,0,0,1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,0,1,5,4,18,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,1,5,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,9,1,3,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
8,0,1,7,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,0,2,6,0,6,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
8,1,2,6,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
8,0,1,2,2,5,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
8,0,0,4,5,3,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
8,0,2,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,4,5,4,7,3,6,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,2,22,3,4,2,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
8,0,9,12,4,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
8,0,0,9,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,0,1,6,4,4,2,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
8,0,1,22,4,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,0,0,11,12,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,0,2,18,3,4,0,3,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0
8,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,16,4,10,3,6,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,1
8,0,1,20,6,8,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,1,5,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,0,3,2,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
8,0,3,28,4,6,4,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,1,0,0
9,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,1,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,2,2,3,10,5,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
9,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,1,1,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,0,1,1,1,9,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0
9,0,0,4,5,32,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
11,0,0,3,3,4,0,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
11,0,0,3,3,13,2,5,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1
11,0,3,4,1,9,0,3,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1
11,0,1,3,1,12,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
11,0,1,1,0,10,3,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
11,0,1,6,0,8,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
11,0,0,5,2,11,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1
11,0,0,4,2,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
12,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,10,0,11,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
12,0,1,4,6,8,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1
12,0,0,10,5,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
12,0,1,2,1,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,2,1,2,8,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
13,0,1,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,1,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
13,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,1,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,0,0,2,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
14,0,0,4,6,10,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0
14,0,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,3,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0
14,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,0,0,12,1,9,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,3,9,4,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,3,3,8,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,3,5,5,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,3,4,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,4,3,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,2,1,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,1,11,7,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
16,0,0,8,2,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
16,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,3,11,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,1,3,10,3,5,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
17,0,0,1,9,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,11,10,19,0,1,0,0,0,0,0,4,0,0,1,0,1,1,2,0,0,0,0,0,1
17,0,0,7,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,2,17,14,12,10,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,2,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,1,18,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,6,11,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
18,0,1,11,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,0,1,2,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,1,4,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,3,8,3,6,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
18,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,2,1,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,0,1,2,2,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
18,1,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,1,0,2,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
18,0,1,1,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,1,3,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
18,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,0,3,3,1,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
18,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,2,12,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
18,0,2,1,2,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
19,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,0,1,7,3,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,2,17,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,0,0,3,7,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
19,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,3,0,1,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
